original_text,cleaned_text,Topic
"My sister shared with me before about a poly mate making fun of an Indian girl.He said anyone who wants chocolate milk can go to Devi ( not the real name ).He laughed coz he thought it was a funny joke. It's downright rude,racist and totally unacceptable!",my sister shared with me before about a tertiary education instituion mate making fun of an indian said anyone who wants chocolate milk can go to devi not the real name he laughed coz he thought it was a funny joke it is downright rude racist and totally unacceptable,1
"Ah this one hits so close to home...i didnt alienate myself from my faith as a Sikh but there were plenty of experiences i faced that honestly made me question why i even bothered. People can be so demeaning and rude. I won't ask people to respect my faith, that's unfortunately too much to ask. I just wish they would leave me alone",ah this one hits so close to home i did not alienate myself from my faith as a sikh but there were plenty of experiences i faced that honestly made me question why i even bothered people can be so demeaning and rude i will not ask people to respect my faith that is unfortunately too much to ask i just wish they would leave me alone,1
This is a breakdown based on our own opinion and understanding of what has happened. This is not meant to sow any religious/racial discord or cause enmity. The first step in tackling racism is acknowledging the problem exists.,this is a breakdown based on our own opinion and understanding of what has happened this is not meant to sow any religious racial discord or because enmity the first step in tackling racism is acknowledging the problem exists,1
"When minorities point out racism, it is not with any intention to sow racial/religious discord or enmity. The intention is to raise awareness, have open and respectful conversations about these issues, and collectively overcome them. 💬",when minorities point out racism it is not with any intention to sow racial religious discord or enmity the intention is to raise awareness have open and respectful conversations about these issues and collectively overcome them speech balloon,1
We need to be able to acknowledge such race-related issues in Singapore and address them. We are not trying to assign blame. Open conversations are always helpful in understanding one another better and strengthening our relationships.,we need to be able to acknowledge such issues in singapore and address them we are not trying to assign blame open conversations are always helpful in understanding one another better and strengthening our relationships,-1
Be an ally. Link in bio.,be an ally link in biography,0
"Thank you @bgAABHt8p1 for spotlighting the Tudung Issue from tudung-wearing women's perspective which is largely lacking in the current discourse. 

We answer extensively and candidly on the issue on this article by @bgAABHtI6p , read the full article via the link in bio 📖",thank you for spotlighting the tudung issue from perspective which is largely lacking in the current discourse we answer extensively and candidly on the issue on this article by read the full article via the link in biography open book,0
"Read about unlearning racism & colorism in the Muslim community, link in bio! ⠀
⠀
4 days left till Body Positivity session! DM us to sign up & for venue details. ⠀
⠀
#unlearn #toxic #culturalnorms #racism #colorism #muslims #bodypositivity #penawarsg #muslimwomen #supportgroup #community #communitysupport #communitybuilding",read about unlearning racism colorism in the muslim community link in biography days left till body positivity session dm us to sign up for venue details,-1
"Penawar is part of @bgAABHtVj4’s How To Be An Effective Ally webinar happening on Zoom next Tuesday, 28th July, 6pm-7pm! Join us, @bgAABHteqD, @bgAABHtawo, and Accenture to learn what it means to be an #ally and what allyship looks like towards the queer community and Malay/Muslim women in the workplace and beyond. ⁣ ⁣ Registration is free! Link in bio✨",penawar is part of s how to be an effective ally online seminar happening on video conferencing next tuesday july join us and consulting company to learn what it means to be an and what allyship looks like towards the queer community and malay muslim women in the workplace and beyond registration is free link in biography sparkles,0
"Dear @bgAABHtrmf , is it so hard to use the word ""racist""?",dear is it so hard to use the word racist,1
"""I also want to add that people may push back that this is a grey area but it really isn’t, it’s just a way to justify racism."" Preferences can be racist. #CALLITOUTSG",i also want to add that people may push back that this is a grey area but it really is not it is just a way to justify racism preferences can be racist,1
The Security Association of Singapore calls out racism and ageism from a Managing Agent. The Managing Agent has since issued an apology.,the security association of singapore calls out racism and ageism from a managing agent the managing agent has since issued an apology,1
"This Christmas, we wish for an end to casual racism, especially in the form of jokes like these. No, they are not funny. If you hear such jokes being made, even if minorities laugh along (internalised racism is a convo for another day), don't hesitate to call it out.",this christmas we wish for an end to casual racism especially in the form of jokes like these no they are not funny if you hear such jokes being made even if minorities laugh along internalised racism is a conversation for another day do not hesitate to call it out,1
"We agree. But we need to see more concrete action, including corrective action. For example, we could start with rental racism. We have one of the most educated populations in the world and we are more than capable about having a civil discussion about race. We need more honest and frank discussions. We also must ensure that laws like Sedition and Maintenance of Religious Harmony Act do not unintentionally deter much needed honest and open conversations about race relations in Singapore. Pretending everything is fine and dandy is not the way forward. We hope this changes and is not just lip service.",we agree but we need to see more concrete action including corrective action for example we could start with rental racism we have one of the most educated populations in the world and we are more than capable about having a civil discussion about race we need more honest and frank discussions we also must ensure that laws like sedition and maintenance of religious harmony act do not unintentionally deter much needed honest and open conversations about race relations in singapore pretending everything is fine and dandy is not the way forward we hope this changes and is not just lip service,1
"A few days ago, the UN voted on a resolution “combating glorification of Nazism, neo‑Nazism and other practices that contribute to fueling contemporary forms of racism.” Singapore rightfully voted for the motion. In this regard, we stand with and applaud the Singapore Govt. We must spare no expense in the fight against Nazis and neo-Nazis.",a few days ago the un voted on a resolution combating glorification of nazism neo nazism and other practices that contribute to fueling contemporary forms of racism singapore rightfully voted for the motion in this regard we stand with and applaud the singapore government we must spare no expense in the fight against nazis and,-1
"Reposting because our previous post got removed with no reasons stated. The next time you face a racist landlord or agent, take a few moments to complain to CEA. Together, we will fight racism.",reposting because our previous post got removed with no reasons stated the next time you face a racist landlord or agent take a few moments to complain to council for estate agencies together we will fight racism,1
Agents who discriminate based on race can be reported to the CEA. Check out our IG highlights on rental racism for more information.,agents who discriminate based on race can be reported to the council for estate agencies check out our ig highlights on rental racism for more information,-1
"As Muslims, it is our spiritual duty to be steadfast to the principles of social justice and deep compassion in Islam. It is not enough to be passive and fall onto the ease of toxic positivity, we must be active in doing the personal and communal work of eradicating violent systems in our lives. Allah has created diversity in humankind by design, so that we may appreciate each other’s differences and respect them, understanding that it doesn’t change the essential fact that we are all God’s beautiful creations. ⁣",as muslims it is our spiritual duty to be steadfast to the principles of social justice and deep compassion in islam it is not enough to be passive and fall onto the ease of toxic positivity we must be active in doing the personal and communal work of eradicating violent systems in our lives allah has created diversity in humankind by design so that we may appreciate each other s differences and respect them understanding that it does not change the essential fact that we are all god s beautiful creations,-1
"The Anti-Racism Coalition Singapore (ARCS) is putting together a shadow report to submit to the UN Convention for Elimination of all forms of Racial Discrimination (CERD)! ARCS is doing a survey gather more meaningful data on the themes of freedom of expression, housing, employment and education, which will be included in the report. This survey is aims to center the voices and experiences of minority racial groups in Singapore. 

If you’re a person from a minority racial group who is living/has previously lived in Singapore, please take the survey! We need to collect 400 responses in 2 weeks. We would also appreciate it if you could share the survey with family, friends, co-workers, acquaintances who are also an ethnic minority in Singapore. 

The shadow report will also be shared publicly once we have finished it!

Survey link: https://www.surveymonkey.com/r/antiracismsg

***The ARCS is a coalition of individuals that have come together for the purpose of putting together this shadow report. The team is led by brown people. the individual identities of the team members cannot be divulged due to safety reasons. You can reach out to the team at antiracism.coalitionsg@protonmail.com should you have any questions and/or feedback!",the coalition singapore arcs is putting together a shadow report to submit to the un convention for elimination of all forms of racial discrimination committee elimination racial discrimination arcs is doing a survey gather more meaningful data on the themes of freedom of expression housing employment and education which will be included in the report this survey is aims to center the voices and experiences of minority racial groups in singapore if you are a person from a minority racial group who is living has previously lived in singapore please take the survey we need to collect responses in weeks we would also appreciate it if you could share the survey with family friends acquaintances who are also an ethnic minority in singapore the shadow report will also be shared publicly once we have finished it survey link the arcs is a coalition of individuals that have come together for the purpose of putting together this shadow report the team is led by brown people the individual identities of the team members cannot be divulged due to safety reasons you can reach out to the team at should you have any questions and or feedback,0
"In yesterday’s IPS-RSIS forum about race and racism in Singapore, it was said that facing discrimination when looking for a job is a form of micro-aggression. We have to disagree. It is a form of blatant racism.",in yesterday s forum about race and racism in singapore it was said that facing discrimination when looking for a job is a form of we have to disagree it is a form of blatant racism,1
You should not downplay racism by saying it’s a “joke”. Who’s laughing?,you should not downplay racism by saying it is a joke who is laughing,1
"Sexual racism is an important topic that queer organisations need to address, educate and stand against. Dating and sexual “preferences” don’t arise in a vacuum. We are influenced by our implicit biases, racial stereotypes, media portrayals of ethnic minorities and many more. To say that it is simply a preference absolves individuals of any responsibility which is extremely common in the gay community. 

Gay folks should not only fight for equality in terms of LGBTQIA+ rights but also fight against racism within their own community and elsewhere. If not, we will never achieve collective liberation.",sexual racism is an important topic that queer organisations need to address educate and stand against dating and sexual preferences do not arise in a vacuum we are influenced by our implicit biases racial stereotypes media portrayals of ethnic minorities and many more to say that it is simply a preference absolves individuals of any responsibility which is extremely common in the gay community gay folks should not only fight for equality in terms of lgbtqia rights but also fight against racism within their own community and elsewhere if not we will never achieve collective liberation,1
I really hope the govt reconsiders the need to hold open discussions as you have articulated in your post. It just feels rather authoritarian that such decisions were made with people in certain positions without taking into account the public's views.,i really hope the government reconsiders the need to hold open discussions as you have articulated in your post it just feels rather authoritarian that such decisions were made with people in certain positions without taking into account the views,1
"what divisive issue? it doesn’t make sense at all to me, bc if it was stated in the nation’s pledge “regardless of race, language or religion” why should there be a divisive issue abt this tudung controversy? if there is a problem, the government should face it head on and learn to fix it instead of just putting it off as a divisive issue or “making others uncomfortable” those are just excuses that doesn’t add up to any value, prove to us that instead of just putting it off they will do something abt it NOW, its 2021 ppl its time to move forward from irrelevant issues like these and just learn to respect everyone’s religions",what divisive issue it does not make sense at all to me because if it was stated in the nation s pledge regardless of race language or religion why should there be a divisive issue about this tudung controversy if there is a problem the government should face it head on and learn to fix it instead of just putting it off as a divisive issue or making others uncomfortable those are just excuses that does not add up to any value prove to us that instead of just putting it off they will do something about it now its people its time to move forward from irrelevant issues like these and just learn to respect everyone is religions,1
"Also, considering how most of the SAP schools are top schools too in their own merit and are known to produce many of Singapore's future leaders, the fact that they remain almost mono-ethnically Chinese do mean that, in a sense, Chinese representation is guaranteed at the highest level of leadership within the government. But then again, a vast majority of selected scholars are Chinese anyway...",also considering how most of the sap schools are top schools too in their own merit and are known to produce many of future leaders the fact that they remain almost chinese do mean that in a sense chinese representation is guaranteed at the highest level of leadership within the government but then again a vast majority of selected scholars are chinese anyway,-1
@bgAABHtcTo yes but the pressure has to come from 'ordinary citizens' as you say. If there is no pressure or discussion at parliament the govt wont see the need to even think about it. So ordinary citizens need to take steps to make this issue viral enough to get policymakers to debate on it,yes but the pressure has to come from ordinary citizens as you say if there is no pressure or discussion at parliament the government will not see the need to even think about it so ordinary citizens need to take steps to make this issue viral enough to get policymakers to debate on it,1
"@bgAABHtYzn I remember social studies preaching Singapore's emphasis on meritocracy, in essence that's supposed to mean that education is ""the great leveller"". By that logic, isn't the existence of SAP schools be hypocritical? I feel that such schools are one of many reasons why the best we can ever achieve is racial tolerance.",i remember social studies preaching emphasis on meritocracy in essence that is supposed to mean that education is the great leveller by that logic is not the existence of sap schools be hypocritical i feel that such schools are one of many reasons why the best we can ever achieve is racial tolerance,1
Look at this tasteless video by @bgAABHtRWO (the PAP candidate who lost in Sengkang). I don't think the racist attack is something that we can and should make light of. We also shouldn't be portraying vile racist attackers in such a fun and harmless light.,look at this tasteless video by the incumbent government candidate who lost in constituency held by opposition i do not think the racist attack is something that we can and should make light of we also should not be portraying vile racist attackers in such a fun and harmless light,1
We need some clarity from the Police as to when and why they ask people to file Magistrate's Complaint before commencing investigations? Is this also the norm for cases involving domestic abuse or violence? It's honestly quite sad and concerning why this victim of a racially charged assault was told to file a Magistrate's Complaint. We really need some answers.,we need some clarity from the police as to when and why they ask people to file complaint before commencing investigations is this also the norm for cases involving domestic abuse or violence it is honestly quite sad and concerning why this victim of a racially charged assault was told to file a complaint we really need some answers,1
"""I cried watching #BLM the other day... AND YOURE CALLING ME A RACIST?!"" Is this some kind of sick joke, @/eudxria ? As far as ""apologies"" go - and we have see many - this is the worst and most appalling.",i cried watching the other day and you are calling me a racist is this some kind of sick joke eudxria as far as apologies go and we have see many this is the worst and most appalling,1
"Why do people love talking down to migrant workers? Do they think they are superior human beings or something? Thank you, Gangaa for calling this out and standing up for them. #CALLITOUTSG",why do people love talking down to migrant workers do they think they are superior human beings or something thank you gangaa for calling this out and standing up for them,1
Nazi symbols must be banned. Sympathisers must be re-educated or counselled. Plain and simple. There is no fucking room for debate or nuance about this. So if you're an edgy teen who wants to justify just stay away from the comments section. This is simply appalling and good on the lady for calling this boy and his shitty beliefs out.,nazi symbols must be banned sympathisers must be or counselled plain and simple there is no fucking room for debate or nuance about this so if you are an edgy teen who wants to justify just stay away from the comments section this is simply appalling and good on the lady for calling this boy and his shitty beliefs out,1
There is no reason why people shouldn't be allowed to wear the hijab. It is time to relook this archaic and senseless policy.,there is no reason why people should not be allowed to wear the hijab it is time to relook this archaic and senseless policy,1
Sigh... The fact that this is from a Hindu prayer song makes it even more offensive. When will these people learn?,sigh the fact that this is from a hindu prayer song makes it even more offensive when will these people learn,1
"""I'm not siam diu girl. I don't have Covid! I don't have Covid!"" This is a distasteful lowblow, @bgAABHt71L . There is nothing funny about this. Your actions following the video (social media posts and interactions) despite multiple comments asking you to take it down show what you really think. FYI, ""I'm sorry if you were offended"" is not an apology. The issue here is not about you not knowing what ""siam diu"" means. That is immaterial. The issue here is how you were xenophobic, racist, and projected your prejudices on an entire nationality. Please do better, especially since you are running a Production Company.",i am not siam fuck girl i do not have covid i do not have covid this is a distasteful low blow there is nothing funny about this your actions following the video social media posts and interactions despite multiple comments asking you to take it down show what you really think for your information i am sorry if you were offended is not an apology the issue here is not about you not knowing what siam fuck means that is immaterial the issue here is how you were xenophobic racist and projected your prejudices on an entire nationality please do better especially since you are running a production company,1
"TW: Use of the n-word (video is in the last slide) We hope @bgAABHtz8y.sg comes clean on why they claimed to be not able to find models from the minority races when instead they chose not to hire them. To be clear, this is not a situation where they simply decided not to hire diverse models. Rather, they chose not to hire and then pretended that they couldn't find any. We understand that this thing where fashion shops only feature Chinese models of a particular body build is not limited to just this shop. We believe that it is indeed important for fashion shops in Singapore to cater for, and feature, a diverse range of models.",taiwan use of the video is in the last slide we hope singapore comes clean on why they claimed to be not able to find models from the minority races when instead they chose not to hire them to be clear this is not a situation where they simply decided not to hire diverse models rather they chose not to hire and then pretended that they could not find any we understand that this thing where fashion shops only feature chinese models of a particular body build is not limited to just this shop we believe that it is indeed important for fashion shops in singapore to cater for and feature a diverse range of models,-1
"Hey MP @bgAABHtRWS.xueling , what do you mean by you can understand ""both sides""? You do know that the other side is xenophobia, racism and blatant discrimination right? Is it so hard for people in power to simply call out racism and xenophobia? Why everything also need both sides? This is not a GP essay. Also, when you say things like both sides, it imputes a false equivalence between those who discriminate viciously, and those who are victims of the discrimination.",hey member of parliament xueling what do you mean by you can understand both sides you do know that the other side is xenophobia racism and blatant discrimination right is it so hard for people in power to simply call out racism and xenophobia why everything also need both sides this is not a gp essay also when you say things like both sides it imputes a false equivalence between those who discriminate viciously and those who are victims of the discrimination,1
Covid has nothing to do with racism. Racism has always been here even from our own ministers from long ago.,covid has nothing to do with racism racism has always been here even from our own ministers from long ago,1
"It's ironic how, for the 'opposition' the issue is sensitive, and that public pressure is 'agressive'. Shows how disconnected the opposition in parliament is to the general public.",it is ironic how for the opposition the issue is sensitive and that public pressure is agressive shows how disconnected the opposition in parliament is to the general public,1
YES. This was a big surprise to me moving to SG. It's absolutely awful & rampant.,yes this was a big surprise to me moving to singapore it is absolutely awful rampant,-1
"Bruh, sg doesn't have much freedom, literally officers can enter your house without a warrant. There's nothing that you can do to stop the pap, its like telling the ccp to not do something. It doesn't work",brother singapore does not have much freedom literally officers can enter your house without a warrant there is nothing that you can do to stop the incumbent government its like telling the china political party to not do something it does not work,-1
Let’s see whether any Singaporean “influencers” got the guts to spread this post around or are they gonna keep silent just because it ruins their aesthetic lol. I lose respect for those with a massive following but simply turn a blind eye towards this issue just because it doesn’t affect them.,let us see whether any singapore citizens influencers got the guts to spread this post around or are they going to keep silent just because it ruins their aesthetic lol i lose respect for those with a massive following but simply turn a blind eye towards this issue just because it does not affect them,1
"@bgAABHtJ5q.clorox Not sure what you mean by ""taking it down in the name of racial equality might be viewed as a direct attack on Chinese education"". But in our case, there is no intention to attack Chinese education. Like we said, there are Chinese Language Education Programs in several school, China studies and Translation in JCs, all things that will still preserve the Chinese language. It will be the government's job to ensure that any concern relating to this policy change is addressed adequately. If there really is no longer any relevance for SAP schools, surely the government can come up with reasonable justifications for the change.",clorox not sure what you mean by taking it down in the name of racial equality might be viewed as a direct attack on chinese education but in our case there is no intention to attack chinese education like we said there are chinese language education programs in several school china studies and translation in high schools all things that will still preserve the chinese language it will be the job to ensure that any concern relating to this policy change is addressed adequately if there really is no longer any relevance for sap schools surely the government can come up with reasonable justifications for the change,1
@bgAABHtpZ4 I did not share your sentiments and I am not keen to engage further since you still insist that you are correct. 🤦🏻‍♀️,i did not share your sentiments and i am not keen to engage further since you still insist that you are correct,1
"@bgAABHtc47 Your experience may give the impression to non-Chinese that all SAP schools teach Maths in Chinese, other than Chinese language and literature or some non-examinable Humanities subjects like music and art.",your experience may give the impression to that all sap schools teach maths in chinese other than chinese language and literature or some humanities subjects like music and antigent rapid test,-1
"@bgAABHtcR5 additionally regarding school being independent, as far as I know 50% of funding is from the Catholic Church or donation. As for your experience, it is from a time before most of the followers on this page are even born. And mine is a different phase in the recent past. There are teachers who choose to teach in English, and there are those who go on explaining the problem sum in Chinese. That is exactly what happened as recent as 7 years. Regarding music and art, the sec 1/2 depending on the teacher, yes they just give up and speak Chinese.",additionally regarding school being independent as far as i know of funding is from the catholic church or donation as for your experience it is from a time before most of the followers on this page are even born and mine is a different phase in the recent past there are teachers who choose to teach in english and there are those who go on explaining the problem sum in chinese that is exactly what happened as recent as years regarding music and antigent rapid test the sec depending on the teacher yes they just give up and speak chinese,-1
"@bgAABHtHmF now you're making untruthful statements about the impression. I make no mention of that, and simply stated the facts of what happen 7 years ago, ask any students then, the math classes for most of the good math teachers were in Chinese, that is exactly what happen.",now you are making untruthful statements about the impression i make no mention of that and simply stated the facts of what happen years ago ask any students then the math classes for most of the good math teachers were in chinese that is exactly what happen,-1
"@bgAABHtI26 lol that’s similar to brown face. Deekosh wearing a tudung, E pay advertisement of a man wearing a tudung, a non muslim woman wearing a tudung is clearly racist and its a cultural appropriation. Freedom to practise any religion do not mean you are allowed to wear any religious symbol other than your faith. Im sure MHRA covers that. We dont see malay women wearing like a nun, indians trying to imitate a monk and a chinese man wearing a turban?",lol that is similar to brown face singapore media personality wearing a tudung e pay advertisement of a man wearing a tudung a non muslim woman wearing a tudung is clearly racist and its a cultural appropriation freedom to practise any religion do not mean you are allowed to wear any religious symbol other than your faith i am sure mhra covers that we do not see malay women wearing like a nun indians trying to imitate a monk and a chinese man wearing a turban,1
"Racism stemed from an existence of race doing a self promotion of their creed is superior to everyone else in order to continue existing as a race. A fundamental pros & cons to the racist issue. A catch 22. Racial Harmony is a different fish highlighting a friendly existence in the same space for a common good. This required a fairness & togetherness as one. Singapore with her decades of efforts & promotions have instilled a belief that Singapore as a nation is so. The recent mixed marriage uproar is of a very different dimension. No longer racial harmony of our founding. It pulled to the forefront the mixed race part of the community that are in the very minority. Presently, it is a very choice thing with new consequences faced by each union & their offsprings. If Singapore is to jump into this promotion, Singapore will need to do an upheavel on a national scale to accommodate future consequences of this new culture. As a small nation, Singapore will be hard put to dish out this to other nations. We cannot be a sanctuary for too many foreign mixed marriages. It's not a workable image attraction. We cannot be left holding the babies. Our present core society will likely be destroyed from within. The growing up pressure issues & eventual loyalty issues needs to be considered. LKY did mentioned about the Catholic network & other networks considering Singapore security. I think this new dimensional mixed race issue needs serious think in relating to both internal & external forces. We cannot be a Mecca for the many foreign mixed people out there. Singapore if going up this road embracing this new dimension needs to put in super efforts to make everything work. No nation including the US & UK has ever made this work. Singapore may need to become something else alien to what we know of Singapore today.",racism stemed from an existence of race doing a self promotion of their creed is superior to everyone else in order to continue existing as a race a fundamental pros cons to the racist issue a catch racial harmony is a different fish highlighting a friendly existence in the same space for a common good this required a fairness togetherness as one singapore with her decades of efforts promotions have instilled a belief that singapore as a nation is so the recent mixed marriage uproar is of a very different dimension no longer racial harmony of our founding it pulled to the forefront the mixed race part of the community that are in the very minority presently it is a very choice thing with new consequences faced by each union their offsprings if singapore is to jump into this promotion singapore will need to do an sudden disruption on a national scale to accommodate future consequences of this new culture as a small nation singapore will be hard put to dish out this to other nations we cannot be a sanctuary for too many foreign mixed marriages it is not a workable image attraction we cannot be left holding the babies our present core society will likely be destroyed from within the growing up pressure issues eventual loyalty issues needs to be considered singapore first prime minister did mentioned about the catholic network other networks considering singapore security i think this new dimensional mixed race issue needs serious think in relating to both internal external forces we cannot be a mecca for the many foreign mixed people out there singapore if going up this road embracing this new dimension needs to put in super efforts to make everything work no nation including the us uk has ever made this work singapore may need to become something else alien to what we know of singapore today,0
"See what we said on 22 April. The PAP is predictable and always two steps behind. Last year when we called for ban on flights from Wuhan, we were accused of Xenophobia. Few days later flights were indeed banned. This year we called for ban on flights from India and countries like Nepal, Sri Lanka (countries that Indian nationals used as a third country to enter SG). Again we were accused of xenophobia. But look what happened today. End of the day it is simple, we must protect our own community first before we can protect and help others. Same reason why when oxygen masks drop in aircraft, you put for yourself first before helping the person beside you. When will we learn from our mistakes?",see what we said on april the incumbent government is predictable and always two steps behind last year when we called for ban on flights from wuhan we were accused of xenophobia few days later flights were indeed banned this year we called for ban on flights from india and countries like nepal sri lanka countries that indian nationals used as a third country to enter singapore again we were accused of xenophobia but look what happened today end of the day it is simple we must protect our own community first before we can protect and help others same reason why when oxygen masks drop in aircraft you put for yourself first before helping the person beside you when will we learn from our mistakes,1
"""If you don't feel safe it is because of pandemic not racsim"" *fake cry*

@bgAABHt3Wg mocks Indian who said minorities feel unsafe in Singapore.",if you do not feel safe it is because of pandemic not racsim fake cry mocks indian who said minorities feel unsafe in singapore,1
"Tbh most of these are jokes. I haven't seen the coconut oil one before tho. Unless the ppl who said it have the intent to hurt you, these will be jokes. This is just my opinion however. There really isn't a point arguing with me bcos im just stating my opinion be it wrong or right to you. After all, right or wrong is just based on your bias",to be honest most of these are jokes i have not seen the coconut oil one before though unless the people who said it have the intent to hurt you these will be jokes this is just my opinion however there really is not a point arguing with me because i am just stating my opinion be it wrong or right to you after all right or wrong is just based on your bias,1
"no one is perfect and is born deconstructed and open-minded, these parents grew up in a racist society that taught that those who are different are dangerous and these ""cases"" only strengthened this belief, and believing in this they only want the best for their daughter when they said that, the deconstruction is a process between her parents and him when they allow themselves to open up to each other, think about it too...",no one is perfect and is born deconstructed and these parents grew up in a racist society that taught that those who are different are dangerous and these cases only strengthened this belief and believing in this they only want the best for their daughter when they said that the deconstruction is a process between her parents and him when they allow themselves to open up to each other think about it too,1
"@bgAABHtJ26 this page is titled WakeUpSingapore. The purpose of my rant is to impress upon the admins, anyone reading this to wake up their idea and focus on things that MATTER. It boggles my mind how selfish humans are when it comes to their own self interests. If I get into a road accident tomorrow, I wish for a quick ending to avoid years of suffering on this miserable earth where people care more about being discriminated against than the lives of innocent animals",this page is titled alternative news source the purpose of my rant is to impress upon the adminstrators anyone reading this to wake up their idea and focus on things that matter it boggles my mind how selfish humans are when it comes to their own self interests if i get into a road accident tomorrow i wish for a quick ending to avoid years of suffering on this miserable earth where people care more about being discriminated against than the lives of innocent animals,1
I have 2 tenant..they're Indians..from Malaysia. DM me if you want to know with problems im facing. I give you my point of view from my own personal.experience. Now i know why ppl have preferences. Does this makes me racist? Oh..by the way im a Malay.,i have tenant they are indians from malaysia dm me if you want to know with problems i am facing i give you my point of view from my own now i know why people have preferences does this makes me racist oh by the way i am a malay,1
"Wth, can y'all stop. If u guys think sg bad, than migrate lah. Stop complaining",what the hell can you all stop if you guys think singapore bad than migrate lah stop complaining,1
"As yes, because the way to be a decent person is to live in an echo chamber, to pick one side and one side only, ignoring that there is always nuance in every issue and it is never black and white, never acknowledging the other side having valid arguments and concerns, instead dismissing them as ""racist, transphobic"" or any kind of buzzword without trying to resolve the issue, and singing lalala when they are trying to explain themselves. I'm sorry, but then I don't want to be a ""decent being"", seeing that being a ""decent being"" doesn't try to find actual solutions, instead breaking down complicated issues into black and white, trying to change our people, people who do want to make this country better, into who is ""good"" and who is ""bad"", breaking this country into factions. I don't think compromise is always the answer, but lack of communication is alway not good. Lack of communication almost wiped out the earth in the Cold War, it can destroy our country too.",as yes because the way to be a decent person is to live in an echo chamber to pick one side and one side only ignoring that there is always nuance in every issue and it is never black and white never acknowledging the other side having valid arguments and concerns instead dismissing them as racist transphobic or any kind of buzzword without trying to resolve the issue and singing lalala when they are trying to explain themselves i am sorry but then i do not want to be a decent being seeing that being a decent being does not try to find actual solutions instead breaking down complicated issues into black and white trying to change our people people who do want to make this country better into who is good and who is bad breaking this country into factions i do not think compromise is always the answer but lack of communication is alway not good lack of communication almost wiped out the earth in the cold war it can destroy our country too,1
"I got my fair share of racism from indians, strangers and employers. Terrible twrribl terrible. Its was raining heavily and indians refuse drive away from the dropoff shelter cause they were smoking and demand me to get lost while my cab is waiting behind. It was a heavy downpour. Indian bosses are the worst of all. Chauvinistic men and treat me like a slave. yes or no they shake their head. and turn their back like fliping prata. i had way too stress nonsensd and stress from them. utterly Disgusting. Not saying everyone is the same. Just my experiences.",i got my fair share of racism from indians strangers and employers terrible terrible terrible its was raining heavily and indians refuse drive away from the dropoff shelter because they were smoking and demand me to get lost while my cab is waiting behind it was a heavy downpour indian bosses are the worst of all chauvinistic men and treat me like a slave yes or no they shake their head and turn their back like fliping backpeddle i had way too stress nonsense and stress from them utterly disgusting not saying everyone is the same just my experiences,1
"this is not GP essay but i’m sure @bgAABHtxNH has no idea since they probably didn’t even complete pre-school education. clownery in full display. no one said. xenophobia or racism is okay. but use some common sense to think why those people are even being xenophobic. bcos they’re afraid they might catch the virus. i’m not saying that it’s okay to think that way. it’s wrong and we should educate them to not behave in such an abysmal manner. so yes, it’s important to understand where they’re coming from too and see both sides so that you can solve the problem. all @bgAABHtq0D is doing is pour fuel into fire and run their mouths in their a$$es. clearly been smoking weed",this is not gp essay but i am sure has no idea since they probably did not even complete education clownery in full display no one said xenophobia or racism is okay but use some common sense to think why those people are even being xenophobic because they are afraid they might catch the virus i am not saying that it is okay to think that way it is wrong and we should educate them to not behave in such an abysmal manner so yes it is important to understand where they are coming from too and see both sides so that you can solve the problem all is doing is pour fuel into fire and run their mouths in their a es clearly been smoking weed,1
I understand chinese accents better,i understand chinese accents better,-1
"what happened to personal preference,, or rather where should we draw the line between personal preference and racism? just wondering",what happened to personal preference or rather where should we draw the line between personal preference and racism just wondering,1
Thats not racist its a fact like saying asians are way more sensitive to alcohol,that is not racist its a fact like saying asians are way more sensitive to alcohol,1
